title,box_off_num
용서는 없다,1111290.730230682
아빠가 여자를 좋아해,1735920.6172028277
하모니,773595.3999472528
의형제,2428182.588814833
평행 이론,1653337.4010889414
회오리 바람,72.69074393445872
경계도시 2,2257.0985671788676
이웃집 남자,33.553280927196624
아마존의 눈물 극장판,2687.900158601527
반가운 살인자,88.85860818061082
집 나온 남자들,120903.0975863492
베스트셀러,395869.539349852
작은 연못,111.32792032449126
경,2213.9168062221484
대한민국 1%,434844.1442501388
포화 속으로,2050609.1492426905
나쁜 놈이 더 잘 잔다,2326.624798948094
맨발의 꿈,2297256.907747184
요술,102523.8177345766
마법천자문: 대마왕의 부활을 막아라,172895.5915310869
인플루언스,64.83477582585365
미스터 좀비,1957.2604550394753
김복남 살인사건의 전말,8892.037529466605
엄지아빠,77.01034773854875
탈주,71.25152976256263
해결사,1041161.725667591
할,1705.4150720212947
된장,923610.8770693723
조금만 더 가까이,7849.263188124874
우리 만난 적 있나요,56.05606828372161
쩨쩨한 로맨스,854914.2317115546
용서,45861.881087542206
브라보! 재즈 라이프,3838.164675985666
카페 느와르,5447.9267364627685
오래된 인력거,2256.7599144882824
창피해,1729.8088013907532
"양 한 마리, 양 두 마리",1442.4233525896839
하얀 정글,2897.2995653188223
다슬이,2497.839120324591
REC 알이씨,31.87436450441793
량강도 아이들,49.681588945734916
티끌모아 로맨스,31985.292802059692
더 킥,1046307.7256499045
커플즈,263689.78937896015
오늘,200877.9296239359
완득이,723263.6479011873
은어,75.39679414350624
고래를 찾는 자전거,54.9468523497098
도가니,15976.663776564785
겨울냄새,210.8721536897402
환타스틱 모던가야그머,1047.8373951380897
블라인드,1135785.1143043642
링크,3383.728639531334
퀵,524546.3622246103
모비딕,1048925.3910902028
굿바이 보이,101.46326357182679
종로의 기적,4775.00345272369
회초리,670671.5723060425
체포왕,1129300.1624737908
세상에서 가장 아름다운 이별,3169842.054622146
나는 아빠다,662606.737872144
수상한 고객들,4254232.956900974
수상한 이웃들,5405.916116340622
돌아오는 길,376.31854364409503
우리 이웃의 범죄,7658.741578744301
엄마는 창녀다,44.67450440056838
위험한 상견례,828349.8724597222
간증,8096.085890289537
"사랑한다, 사랑하지 않는다",295222.68773844687
"혜화, 동",8290.032781778365
글러브,1233644.7996214223
가문의 귀환,423849.3348752246
잔혹한 앵글의 로망스,158.5546698337954
나의 PS 파트너,776218.252179098
롤플레이,368.0029821261151
마티나,667.1735363879013
음치 클리닉,1100669.1374322535
남영동1985,166746.20764011686
돈 크라이 마미,67768.08383641056
반드시 크게 들을 것 2 : Wild Days,2612.0067481414726
범죄소년,14658.994357882199
내가 살인범이다,2982705.592811659
터치,2605.0209383422794
늑대소년,2327542.919562661
맥코리아,1314.730234709261
용의자X,1831694.5071144053
하나안,1663.616907908868
투 올드 힙합 키드,6508.4457083430225
한경직,1496.038687394973
미운오리새끼,68005.1059248783
황제펭귄 펭이와 솜이,999.5713840853671
두 개의 문,2625.4113068194283
I AM,303022.77506477677
후궁 : 제왕의 첩,986879.2568170395
"안녕, 하세요!",90006.82077299518
천국의 아이들,86.78791942045635
할머니는 일학년,12038.041746926257
두레소리,62.35430002331806
"봄, 눈",408583.7007020124
은교,156856.4800953439
간기남,617348.6085061419
시체가 돌아왔다,1401609.0383947943
말하는 건축가,4789.6626108509945
밀월도 가는 길,5019.145504277869
파파,548219.117473753
점박이:한반도의 공룡3D,47349.80730021979
댄싱퀸,4062866.5665451437
누구의 딸도 아닌 해원,27108.451977045584
신세계,3097988.4577889936
굿바이 홈런,3193.4431476646914
불륜의 시대,1830.6095648337264
남쪽으로 튀어,1015276.9833102068
좋은 친구들,1228704.0528354358
지슬 - 끝나지 않은 세월 2,3486.6603825658362
누구나 제 명에 죽고 싶다,6919.6580223489855
사이코메트리,660201.1140779344
환상속의 그대,5623.175427749658
몽타주,2414707.3385236254
"힘내세요, 병헌씨",2111.196306098434
꼭두각시,75358.69300459194
홀리,936.9105245763751
마이 라띠마,255452.94685841206
더 테러 라이브,547285.1961869263
슈퍼피쉬 - 끝없는 여정,1278.3378930597828
콩가네,53.12951286514563
허풍,454.8387734279484
젊은 엄마,645.7701118985034
노라노,10363.968645411402
노브레싱,27513.1993344041
말하는 건축 시티:홀,3040.766925489991
댄서김의 은밀한 교수법,27.386042675153256
소원,334734.7265841958
고양이 소녀,434.0058990774377
롤플레이 2 : 동침,183.31128532835987
동창생,1572744.1663697748
용의자,3985491.3771555135
미녀전쟁,387.72256269125006
캐치미,686742.4969407781
그 강아지 그 고양이,59329.38609761766
화려한 외출,27.6507648958199
오하이오 삿포로,750.3379738964863
마이 리틀 히어로,1359639.6411317114
박수건달,5475636.990958256
배꼽,57.53278455171339
나가요 미스콜,1789.8720545727506
우아한 거짓말,36902.73352294009
미스터 컴퍼니,3861.1493358241387
우리별 일호와 얼룩소,1965.543743786536
찌라시: 위험한 소문,1779279.450325455
조선미녀삼총사,1237067.020650752
만찬,4747.291736304678
한 번도 안 해본 여자,1637.7922894840463
살인자,39.34594263461982
  이것이 우리의 끝이다,6367.794137800966
그댄 나의 뱀파이어,1165.067449255605
황제를 위하여,88.10107623024702
레디액션! 폭력영화,3729.1770588599843
스퀴시랜드,68745.87007697868
우는 남자,1463134.4344321617
하이힐,1851276.5416547495
도희야,21566.791309286178
표적,728874.0689923929
10분,48578.45829706387
메이크 유어 무브,321263.29479836544
카토 프로젝트,370.95832435099646
녀녀녀,531.452941752628
방황하는 칼날,1251795.8899040406
바리새인,40.79727051973991
욕망의 독: 중독,1357.2824896528962
설계,3530.0653614129797
레쓰링,1001.0887885106429
원 컷 - 어느 친절한 살인자의 기록,1845.664908646651
픽업 아티스트,913.5386437375619
옹녀뎐,27.786726500197382
왓니껴,1992.1560182333196
족구왕,11389.013694213418
내 연애의 기억,27205.167871000194
바세코의 아이들,1133.258413828601
명량,6774998.166712398
군도: 민란의 시대,5417394.7897513015
산타바바라,9927.292299360419
나는 야한 여자가 좋다,476.9542989941485
숙희,866.6435546986053
더 테너 리리코 스핀토,7175.23158066898
기술자들,1005134.2478937613
신화 라이브 3D 더 레전드 컨티뉴스,3093.393861643185
악사들,4028.437287129266
울언니,3587.0785872986366
정사: 위험한 성적유희,540.1188835799079
레디액션 청춘,523681.3011694201
"제자, 옥한흠",2970.299878816838
환상,574.8670675239895
위층여자,1004.8564357326295
가자! 장미여관으로 3 - 방황,1322.4584146487887
나는 야한 여자가 좋다 3,476.9542989941485
스물,1761877.086777337
그라운드의 이방인,3004.6326037562976
살인의뢰,228608.03824914614
살인캠프,652.9408183856112
헬머니,1044819.1427264975
조류인간,149.71509409245337
최강전사 미니특공대 : 새로운 악당의 습격,51961.13707121229
생각보다 맑은,44.1354250725886
고양이 장례식,5584.381226661118
설해,68107.25624323578
나의 절친 악당들,1117806.106228406
연평해전,2083558.0210001983
극비수사,1037919.6671343526
성난 화가,1909.262017015919
은밀한 유혹,1828754.551255159
혜경궁 홍씨,1390.7476797617167
무뢰한,902897.041035014
간신,2046393.0773068077
연애의 맛,91.49835144934383
잡식가족의 딜레마,9355.71138236133
플랑크 상수,302.4599332877045
장수상회,1064434.7228485567
파울볼,56076.30753836699
춘희막이,20682.150071338212
덫: 치명적인 유혹,907.9039646390586
션샤인 러브,24005.518327954313
사도,3159523.1415834585
돼지 같은 여자,42752.92638127693
사랑이 이긴다,38225.126881872
슈퍼레이서 엔지,27369.68014916209
제 7기사단,117.98200479526542
고백,54.53820680980427
미쓰 와이프,633462.7856483953
위로공단,8623.48565426329
베테랑,5044341.112132698
악인은 살아 있다,6988.143152744662
쓰리 썸머 나잇,347662.77114843635
마돈나,69658.53179971098
"나의 아들, 나의 어머니",1264.5604535510095
슬픈남자,52.87058651829916
타이밍,5890.045053651415
타투,64.72323781935756
어떤이의 꿈,261.83018040780433
해에게서 소년에게,10941.633532189528
울보 권투부,3730.8208026196853
어떤살인,84.47469817243223
말하지 못한 비밀,1651.080005438063
조선안방 스캔들-칠거지악 2,666.0166283392986
