id,value
1,63939853.28210179
2,114387580.52877162
4,92246086.15091917
5,95430344.885829
6,63052933.936441824
10,82958834.29959066
11,68516503.83108361
15,88158147.73162606
17,70448069.53922427
23,66227960.109234616
25,75732841.37706532
28,66398294.749883465
31,72486727.43230905
35,41713855.11657327
39,21559178.5723949
40,25538468.537022285
43,64485482.82189013
48,53065211.11826413
51,34169176.090421714
55,59152603.78239332
56,57117032.226027146
57,39522559.76369748
61,49495175.79755519
62,47279739.77318372
69,36395420.524439216
70,29747753.31230476
71,37170874.547769755
74,43385684.110179275
80,49284720.55735262
82,42001158.60383779
84,40703437.27234738
85,37485885.433618166
88,37236931.8531347
90,34014646.4938434
91,33820007.27685711
95,30104395.389000155
101,31630510.71830173
104,14584444.777337218
111,31660337.588365193
113,30699401.801311288
116,43588329.84910657
120,34090449.9818646
122,38140376.47077647
130,28427144.15560424
136,32377705.63003741
138,27835989.988235634
141,23237544.124223996
144,26472270.97472027
146,22014447.541416954
147,19686766.77553367
150,17755676.632018022
151,29238160.70601213
152,5480044.372574415
158,21694379.40464822
159,27589641.928931873
160,30314762.215684403
162,31106577.518746685
168,30960011.817614082
172,27930820.77856783
177,27714674.606623713
181,26864805.228975523
183,31825450.15773361
184,31516698.131357156
186,28590728.22522387
187,30747811.77754263
192,28129255.300414875
193,30019560.78251126
194,23702662.51113194
200,23508914.77623621
201,12125523.04434025
204,24976769.917611342
206,28031528.635840658
208,25880575.67378518
219,20161100.739397775
221,10087848.54865
227,29216752.172438864
231,6739546.462174982
233,29602257.722709537
235,27731586.804399803
237,21612994.42177379
238,24251152.52766085
239,24550926.862232693
255,20841491.636955265
258,21063233.215882767
260,23105441.92426096
272,22364768.48526475
273,19970562.47662344
275,25716635.84529059
279,19511061.445674334
281,21680847.667420235
284,21674145.508579306
286,19373535.507056925
292,19823577.41986154
300,12198024.891948923
301,12156574.681716967
303,14012176.324402928
304,19039308.316858374
315,8096132.639064316
318,2033743.0340280966
320,16555184.459944077
322,21797629.19668659
323,27387945.8468338
326,27419565.364992023
328,25052349.246762607
337,22735140.01872031
339,20539417.570542175
342,21401395.443195615
343,24614121.043283354
360,16627285.773547428
364,21374485.768444583
365,17948632.326574136
367,19722583.319279853
368,15566723.421382876
369,13165369.94804303
372,17368310.827146135
376,19719549.500246283
379,17894128.71452007
380,23427749.63027418
383,15559189.907046363
385,10955954.278195927
386,13301176.282981602
390,15760021.94620303
391,15653648.61329008
393,15771569.516287802
400,8841721.289395185
403,8759521.668468408
413,23229952.735985428
416,21101141.75677454
423,15065658.924897505
424,16878004.42116652
426,14437001.744426744
427,19097476.231791016
428,13223346.271551114
429,20501834.919737756
431,11714829.056911465
432,17724864.457227107
433,16870661.147449505
439,9228980.156548465
443,15875048.527885493
444,19371849.851850647
446,18756013.862640116
449,18733190.61276246
456,16481388.781281313
457,12796989.347253151
464,13905022.70853878
468,16338209.453829259
472,12246544.145340132
474,16280571.615579808
483,11789511.569516767
488,13449731.427904584
494,13181783.210102415
499,9242829.446245156
505,11750528.633059898
506,14306496.88799348
510,12812332.404156424
511,10730269.945560511
512,6082971.395262062
517,9477850.5317799
521,12684182.532958526
522,8538553.220378231
523,12150079.677305121
526,11232216.043130614
531,9477850.5317799
540,2186807.670498155
547,5669974.175902364
555,17985875.47828816
556,18095485.091417503
563,4233797.761698449
564,19432457.405155
566,9792004.680604767
573,9546699.500395598
574,16722880.8263266
581,16751569.68252763
588,12210762.319234591
590,15311396.712195735
591,15342741.163291533
595,14860568.791760426
596,13339458.384495452
597,16520128.91992302
599,13844874.930551654
600,10359266.443998348
602,11676092.27120187
603,13849282.106145052
606,15737788.846658187
613,11371507.06539136
615,12198523.490287755
620,16134812.25047951
623,11415431.371211953
624,10347365.779734898
628,10321408.78218587
630,12736352.220054189
635,14172421.796574445
636,13002199.624240585
638,14920161.8650065
662,10449122.961458959
664,11358586.355953814
665,10577630.913167682
